date,year,month,day,day_of_year,rainfall_mm,temperature_max,temperature_min,humidity,cloud_cover,sunshine_hours,wind_speed,pressure,dew_point,evapotranspiration,is_monsoon,previous_7day_rainfall,previous_30day_rainfall
2000-01-01,2000,1,1,1,0.0,22.7,16.6,68.0,69.6,3.0,17.5,1001.1,16.3,1.0,0,0.0,0.0
2000-01-02,2000,1,2,2,1.84,24.1,17.7,75.1,45.9,9.2,10.9,1008.2,19.2,1.04,0,0.92,0.92
2000-01-03,2000,1,3,3,0.0,23.4,16.2,76.4,62.3,6.6,15.9,1006.2,19.1,1.01,0,0.61,0.61
2000-01-04,2000,1,4,4,0.0,23.8,16.7,68.4,41.4,8.6,11.2,1004.6,16.7,1.0,0,0.46,0.46
2000-01-05,2000,1,5,5,0.0,22.0,16.5,78.4,59.6,5.9,16.3,1001.7,18.3,1.0,0,0.37,0.37
2000-01-06,2000,1,6,6,0.0,23.0,16.0,66.5,29.6,8.2,13.9,1003.3,16.2,1.0,0,0.31,0.31
2000-01-07,2000,1,7,7,0.0,25.5,16.8,76.0,48.2,6.3,12.7,1004.6,20.6,1.0,0,0.26,0.26
2000-01-08,2000,1,8,8,0.0,22.0,16.0,68.9,50.6,5.4,16.3,1007.7,15.9,1.0,0,0.26,0.23
2000-01-09,2000,1,9,9,0.0,22.6,16.0,76.4,55.4,5.8,9.1,1005.9,18.4,1.0,0,0.0,0.2
2000-01-10,2000,1,10,10,3.3,22.0,17.1,76.4,44.6,6.9,16.0,1005.1,17.4,1.0,0,0.47,0.51
2000-01-11,2000,1,11,11,0.0,23.9,17.9,82.1,58.9,6.0,14.9,1004.9,20.2,1.0,0,0.47,0.47
2000-01-12,2000,1,12,12,0.0,22.0,16.0,68.8,46.3,5.9,13.1,1006.0,16.5,1.0,0,0.47,0.43
2000-01-13,2000,1,13,13,0.0,22.0,16.0,62.1,31.4,7.6,13.9,1008.0,14.0,1.16,0,0.47,0.4
2000-01-14,2000,1,14,14,0.0,25.5,16.4,63.2,34.1,7.1,7.8,1001.2,17.4,1.0,0,0.47,0.37
2000-01-15,2000,1,15,15,0.19,22.0,16.4,69.8,59.2,5.9,12.3,1005.8,16.0,1.0,0,0.5,0.36
2000-01-16,2000,1,16,16,0.0,22.0,16.0,71.0,47.6,7.3,12.1,1005.4,16.5,1.12,0,0.5,0.33
2000-01-17,2000,1,17,17,0.88,24.0,16.0,67.6,40.7,8.5,17.5,1005.4,17.0,1.0,0,0.15,0.37
2000-01-18,2000,1,18,18,0.0,22.0,18.6,71.3,33.1,7.6,10.1,1006.4,16.5,1.0,0,0.15,0.34
2000-01-19,2000,1,19,19,2.95,22.0,18.2,74.6,42.7,7.1,7.0,1006.1,17.6,1.0,0,0.57,0.48
2000-01-20,2000,1,20,20,0.0,22.0,18.5,71.7,46.1,6.2,12.5,1005.5,17.2,1.0,0,0.57,0.46
2000-01-21,2000,1,21,21,0.0,24.2,17.3,68.9,45.7,6.3,11.7,1004.6,17.4,1.0,0,0.57,0.44
2000-01-22,2000,1,22,22,0.0,24.4,16.0,65.5,41.5,7.8,10.4,1005.7,17.8,1.0,0,0.55,0.42
